Original text	Translation
"Your strength is affected by your equipment."	"На вашу силу воздействуют надетые на вас вещи."
"Your strength is sustained."	"Ваша сила не может быть снижена."
"Your %s twists space around you..."	"%s искривляет пространство вокруг вас..."
"Your torch glows more brightly."	"Ваш факел вспыхивает ярче."
"Your torch is fully fueled."	"Ваш факел полностью заполнен."
"Your weapon burns your foes."	"Ваше оружие сжигает врагов."
"Your weapon can induce earthquakes."	"Ваше оружие может вызывать землетрясения."
"Your weapon freezes your foes."	"Ваше оружие замораживает врагов."
"Your weapon has been blessed by the gods."	"Ваше оружие благословлено богами."
"Your weapon is a great bane of demons."	"Ваше оружие - великое лихо демонов."
"Your weapon is a great bane of dragons."	"Ваше оружие - великое лихо драконов."
"Your weapon is a great bane of undead."	"Ваше оружие - великое лихо живых мертвецов."
"Your weapon is especially deadly against dragons."	"Ваше оружие особенно смертельно против драконов."
"Your weapon is especially deadly against giants."	"Ваше оружие особенно смертельно против гигантов."
"Your weapon is especially deadly against orcs."	"Ваше оружие особенно смертельно против орков."
"Your weapon is especially deadly against trolls."	"Ваше оружие особенно смертельно против троллей."
"Your weapon melts your foes."	"Ваше оружие плавит врагов."
"Your weapon poisons your foes."	"Ваше оружие отравляет врагов."
"Your weapon shocks your foes."	"Ваше оружие бьет током врагов."
"Your weapon strikes at animals with extra force."	"Ваше оружие бьет животных с особой силой."
"Your weapon strikes at demons with holy wrath."	"Ваше оружие атакует демонов с праведным гневом."
"Your weapon strikes at evil with extra force."	"Ваше оружие бьет зло с особой силой."
"Your weapon strikes at undead with holy wrath."	"Ваше оружие атакует живых мертвецов с праведным гневом."
"Your wisdom is affected by your equipment."	"На вашу мудрость воздействуют надетые на вас вещи."
"Your wisdom is sustained."	"Ваша мудрость не может быть снижена."
"You see a pile of %d objects."	"Вы видите кучу из %d предметов."
"You see no store here."	"Здесь нет магазинов."
"You see nothing there to bash."	"Здесь нечего выбивать."
"You see nothing there to close."	"Здесь нечего закрывать."
"You see nothing there to disarm."	"Здесь нечего обезвреживать."
"You see nothing there to open."	"Здесь нечего открывать."
"You see nothing there to spike."	"Здесь нечего клинить."
"You see nothing there to tunnel."	"Здесь некуда копать."
"You see nothing there."	"Здесь ничего нет."
"You see %s."	"Вы видите %s."
"You see "	"Вы видите: "
"You sense the presence of buried treasure!"	"Вы чувствуете присутствие закопанных сокровищ!"
"You sense the presence of doors!"	"Вы чувствуете присутствие дверей!"
"You sense the presence of evil creatures!"	"Вы чувствуете присутствие злых существ!"
"You sense the presence of invisible creatures!"	"Вы чувствуете присутствие невидимых существ!"
"You sense the presence of magic objects!"	"Вы чувствуете присутствие магических предметов!"
"You sense the presence of monsters!"	"Вы чувствуете присутствие монстров!"
"You sense the presence of objects!"	"Вы чувствуете присутствие предметов!"
"You sense the presence of stairs!"	"Вы чувствуете присутствие лестниц!"
"You sense the presence of traps!"	"Вы чувствуете присутствие ловушек!"
"You sense the presence of treasure!"	"Вы чувствуете присутствие сокровищ!"
"You set off a trap!"	"Вы включили ловушку!"
"You set off the %s!"	"Вы попали в ловушку (%s)!"
"You sink through the floor."	"Вы проваливаетесь сквозь пол."
"You smash into the door!"	"Вы врезаетесь в дверь!"
"You sold %s (%c) for %ld gold."	"Вы продали %s (%c) за %ld золотых."
"You spin around."	"Вы поворачиваетесь вокруг."
"You stand your ground!"	"Вы не поддаетесь страху!"
"You try my patience."	"Простите, вы о чем?"
"You tunnel into the door."	"Вы копаете дверь."
"You tunnel into the granite wall."	"Вы копаете гранитную стену."
"You tunnel into the magma vein."	"Вы копаете магматическую жилу."
"You tunnel into the quartz vein."	"Вы копаете кварцевую жилу."
"You've got to be kidding!"	"Не будем терять время."
"You've made my day!"	"Продавец напевает радостную песенку."
"You were holding"	"Ваш бывший источник света -"
"You were wearing"	"Вы носили"
"You were wielding"	"Вы сражались"
"You will have to do better than that!"	"Это оскорбление!"
"You will soon be recalled."	"Вы скоро будете возвращены."
"@:You"	"@:Вы"
"y:Yeek"	"y:Йик"
"Y:Yeti"	"Y:Йети"
"Y"	" Да"
"Zap which rod? "	"Использовать какой жезл? "
"Z:Zephyr Hound"	"Z:Гончая Эфира"
"z:Zombie/Mummy"	"z:Зомби/Мумия"
